"region";"kön";"ålder";"2018";"2022"
"1884 Nora";"totalt";"20+ år";248.3;293.3
"1885 Lindesberg";"totalt";"20+ år";246.0;283.8
"1904 Skinnskatteberg";"totalt";"20+ år";244.5;279.2
"1907 Surahammar";"totalt";"20+ år";241.8;280.3
"1960 Kungsör";"totalt";"20+ år";246.6;296.3
"1961 Hallstahammar";"totalt";"20+ år";246.8;285.7
"1962 Norberg";"totalt";"20+ år";246.7;279.5
"1980 Västerås";"totalt";"20+ år";281.7;325.1
"1981 Sala";"totalt";"20+ år";246.6;289.5
"1982 Fagersta";"totalt";"20+ år";245.0;280.2
"1983 Köping";"totalt";"20+ år";250.2;287.9
"1984 Arboga";"totalt";"20+ år";249.1;284.8
"2021 Vansbro";"totalt";"20+ år";234.8;287.6
"2023 Malung-Sälen";"totalt";"20+ år";250.7;304.7
"2026 Gagnef";"totalt";"20+ år";250.6;290.8
"2029 Leksand";"totalt";"20+ år";261.5;309.1
"2031 Rättvik";"totalt";"20+ år";244.7;285.3
"2034 Orsa";"totalt";"20+ år";230.6;268.7
"2039 Älvdalen";"totalt";"20+ år";234.4;273.0
"2061 Smedjebacken";"totalt";"20+ år";246.8;383.9
"2062 Mora";"totalt";"20+ år";253.3;298.3
"2080 Falun";"totalt";"20+ år";270.7;317.7
"2081 Borlänge";"totalt";"20+ år";247.6;285.3
"2082 Säter";"totalt";"20+ år";253.6;290.0
"2083 Hedemora";"totalt";"20+ år";242.0;281.1
"2084 Avesta";"totalt";"20+ år";244.1;286.0
"2085 Ludvika";"totalt";"20+ år";241.6;280.2
"2101 Ockelbo";"totalt";"20+ år";230.2;270.1
"2104 Hofors";"totalt";"20+ år";240.6;279.0
"2121 Ovanåker";"totalt";"20+ år";230.3;279.7
"2132 Nordanstig";"totalt";"20+ år";228.4;269.3
"2161 Ljusdal";"totalt";"20+ år";233.1;276.9
"2180 Gävle";"totalt";"20+ år";264.0;306.3
"2181 Sandviken";"totalt";"20+ år";248.4;292.4
"2182 Söderhamn";"totalt";"20+ år";237.5;278.1
"2183 Bollnäs";"totalt";"20+ år";236.8;280.4
"2184 Hudiksvall";"totalt";"20+ år";255.4;300.2
"2260 Ånge";"totalt";"20+ år";230.4;266.9
"2262 Timrå";"totalt";"20+ år";249.5;287.2
"2280 Härnösand";"totalt";"20+ år";238.5;280.3
"2281 Sundsvall";"totalt";"20+ år";269.2;309.9
"2282 Kramfors";"totalt";"20+ år";230.2;267.3
"2283 Sollefteå";"totalt";"20+ år";225.9;266.3
"2284 Örnsköldsvik";"totalt";"20+ år";260.3;299.3
"2303 Ragunda";"totalt";"20+ år";218.3;263.4
"2305 Bräcke";"totalt";"20+ år";223.2;278.4
"2309 Krokom";"totalt";"20+ år";270.0;312.8
"2313 Strömsund";"totalt";"20+ år";224.5;283.9
"2321 Åre";"totalt";"20+ år";264.0;348.6
"2326 Berg";"totalt";"20+ år";227.4;274.3
"2361 Härjedalen";"totalt";"20+ år";237.7;289.7
"2380 Östersund";"totalt";"20+ år";262.0;310.8
"2401 Nordmaling";"totalt";"20+ år";234.3;282.1
"2403 Bjurholm";"totalt";"20+ år";227.1;264.3
"2404 Vindeln";"totalt";"20+ år";237.3;273.9
"2409 Robertsfors";"totalt";"20+ år";237.8;283.8
"2417 Norsjö";"totalt";"20+ år";225.0;267.4
"2418 Malå";"totalt";"20+ år";229.5;296.7
"2421 Storuman";"totalt";"20+ år";228.4;282.5
"2422 Sorsele";"totalt";"20+ år";225.2;257.1
"2425 Dorotea";"totalt";"20+ år";217.5;260.9
"2460 Vännäs";"totalt";"20+ år";246.8;305.9
"2462 Vilhelmina";"totalt";"20+ år";224.6;260.0
"2463 Åsele";"totalt";"20+ år";218.1;251.0
"2480 Umeå";"totalt";"20+ år";266.4;310.7
"2481 Lycksele";"totalt";"20+ år";239.1;286.9
"2482 Skellefteå";"totalt";"20+ år";258.6;314.2
"2505 Arvidsjaur";"totalt";"20+ år";237.6;278.0
"2506 Arjeplog";"totalt";"20+ år";239.3;278.1
"2510 Jokkmokk";"totalt";"20+ år";235.6;278.0
"2513 Överkalix";"totalt";"20+ år";220.9;257.7
"2514 Kalix";"totalt";"20+ år";241.2;278.2
"2518 Övertorneå";"totalt";"20+ år";225.8;264.4
"2521 Pajala";"totalt";"20+ år";241.8;275.5
"2523 Gällivare";"totalt";"20+ år";276.7;331.9
"2560 Älvsbyn";"totalt";"20+ år";235.2;294.3
"2580 Luleå";"totalt";"20+ år";265.4;311.5
"2581 Piteå";"totalt";"20+ år";258.0;312.8
"2582 Boden";"totalt";"20+ år";248.3;295.8
"2583 Haparanda";"totalt";"20+ år";227.0;263.2
"2584 Kiruna";"totalt";"20+ år";275.1;323.3
